Gene Symbol,organ
hNKR-P1A,Blood and immune system
NKR,Blood and immune system
NKR-P1,Blood and immune system
NKR-P1A,Blood and immune system
GABRR2,Eye
OPRM1,Brain
MOR1,Brain
TULP1,Eye
LCA15,Eye
RP14,Eye
TUBL1,Eye
SLC26A8,Male tissue
RHAG,Blood and immune system
CD241,Blood and immune system
RH50A,Blood and immune system
SLC42A1,Blood and immune system
MDGA1,Brain
GPIM,Brain
MAMDC3,Brain
CAP2,Heart and skeletal muscle
TSPO2,Blood and immune system
BZRPL1,Blood and immune system
dJ34B21.2,Blood and immune system
FHL5,Male tissue
ACT,Male tissue
dJ393D12.2,Male tissue
FLJ33049,Male tissue
HDGFL1,Male tissue
dJ309H15.1,Male tissue
Hdgfrp1,Male tissue
HRP-1,Male tissue
PWWP1,Male tissue
GPLD1,Liver
B3GAT2,Brain
GlcAT-S,Brain
EYA4,Heart and skeletal muscle
CMD1J,Heart and skeletal muscle
DFNA10,Heart and skeletal muscle
NR2E1,Brain
TLL,Brain
TLX,Brain
XTLL,Brain
SLC17A2,Liver
NPT3,Liver
SLC22A2,Kidney
44836,Kidney
GUCA1B,Eye
GCAP2,Eye
RP48,Eye
PRPH2,Eye
CACD2,Eye
rd2,Eye
RDS,Eye
RP7,Eye
TSPAN22,Eye
IMPG1,Eye
GP147,Eye
IPM150,Eye
SPACR,Eye
ENPP5,Male tissue
PRSS16,Blood and immune system
TSSP,Blood and immune system
MEP1A,GI-tract
PPHA,GI-tract
SLC4A9,Kidney
AE4,Kidney
CDH9,Brain
PDE8B,Endocrine tissue
HAVCR1,Kidney
CD365,Kidney
HAVCR,Kidney
HAVCR-1,Kidney
KIM1,Kidney
TIM-1,Kidney
TIM1,Kidney
TIMD1,Kidney
GRM6,Eye
CSNB1B,Eye
GPRC1F,Eye
mGlu6,Eye
MGLUR6,Eye
GABRG2,Brain
LNPEP,Female tissue
CAP,Female tissue
IRAP,Female tissue
P-LAP,Female tissue
PLAP,Female tissue
IL4,Blood and immune system
BCGF-1,Blood and immune system
BCGF1,Blood and immune system
BSF1,Blood and immune system
IL-4,Blood and immune system
MGC79402,Blood and immune system
C9,Liver
HMGXB3,Endocrine tissue
HMGX3,Endocrine tissue
KIAA0194,Endocrine tissue
SMF,Endocrine tissue
CDX1,GI-tract
KNG1,Liver
BDK,Liver
BK,Liver
KNG,Liver
HRG,Liver
HPRG,Liver
HRGP,Liver
HGD,Liver
AKU,Liver
HGO,Liver
CLDN16,Kidney
HOMG3,Kidney
PCLN1,Kidney
RBP2,GI-tract
CRABP-II,GI-tract
CRBP2,GI-tract
CRBPII,GI-tract
RBPC2,GI-tract
BCHE,Liver
CHE1,Liver
CHE2,Liver
E1,Liver
SERPINI2,Pancreas
MEPI,Pancreas
PANCPIN,Pancreas
PI14,Pancreas
TSA2004,Pancreas
GNAT1,Eye
CSNBAD3,Eye
FXR1,Heart and skeletal muscle
HHLA2,GI-tract
B7-H5,GI-tract
B7H7,GI-tract
B7y,GI-tract
MORC1,Male tissue
CT33,Male tissue
MORC,Male tissue
ZCW6,Male tissue
ROPN1B,Male tissue
CSPG5,Brain
NGC,Brain
POMC,Endocrine tissue
ACTH,Endocrine tissue
CLIP,Endocrine tissue
LPH,Endocrine tissue
MSH,Endocrine tissue
NPP,Endocrine tissue
POC,Endocrine tissue
CENPA,Blood and immune system
CenH3,Blood and immune system
CENP-A,Blood and immune system
PCSK4,Male tissue
DKFZp434B217,Male tissue
MGC34749,Male tissue
PC4,Male tissue
SPC5,Male tissue
GCG,Pancreas
GLP-1,Pancreas
GLP1,Pancreas
GLP2,Pancreas
GRPP,Pancreas
APC2,Brain
APCL,Brain
NDUFS7,Heart and skeletal muscle
CI-20,Heart and skeletal muscle
FLJ45860,Heart and skeletal muscle
FLJ46880,Heart and skeletal muscle
PSST,Heart and skeletal muscle
REG1A,Pancreas
PSP,Pancreas
PSPS,Pancreas
PSPS1,Pancreas
PTP,Pancreas
REG,Pancreas
GGCX,Liver
VKCFD1,Liver
NEU2,Skin
SIAL2,Skin
GNLY,Blood and immune system
D2S69E,Blood and immune system
LAG-2,Blood and immune system
LAG2,Blood and immune system
NKG5,Blood and immune system
TLA519,Blood and immune system
PRKAG3,Heart and skeletal muscle
SLC5A7,Brain
CHT1,Brain
hCHT,Brain
STK25,Heart and skeletal muscle
SOK1,Heart and skeletal muscle
YSK1,Heart and skeletal muscle
TPO,Endocrine tissue
TPX,Endocrine tissue
PROC,Liver
GORASP2,Male tissue
GOLPH6,Male tissue
GRASP55,Male tissue
GRS2,Male tissue
LCT,GI-tract
AAK1,Endocrine tissue
DKFZp686K16132,Endocrine tissue
KIAA1048,Endocrine tissue
TNR,Brain
PAPPA2,Female tissue
PAPP-A2,Female tissue
PAPPE,Female tissue
PLAC3,Female tissue
NPHS2,Kidney
PDCN,Kidney
SRN1,Kidney
DLGAP3,Brain
DAP3,Brain
SAPAP3,Brain
DNAJC6,Brain
KIAA0473,Brain
PARK19,Brain
IVNS1ABP,Blood and immune system
HSPC068,Blood and immune system
KIAA0850,Blood and immune system
KLHL39,Blood and immune system
ND1,Blood and immune system
NS-1,Blood and immune system
NS1-BP,Blood and immune system
PDC,Eye
MEKA,Eye
RPE65,Eye
BCO3,Eye
LCA2,Eye
rd12,Eye
RP20,Eye
AMPD1,Heart and skeletal muscle
MAD,Heart and skeletal muscle
MADA,Heart and skeletal muscle
CTH,Liver
TNNI3K,Heart and skeletal muscle
CARK,Heart and skeletal muscle
CFHR3,Liver
CFHL3,Liver
DOWN16,Liver
FHR-3,Liver
FHR3,Liver
HLF4,Liver
HPCAL4,Brain
DKFZp761G122,Brain
HLP4,Brain
RIMS3,Brain
NIM3,Brain
RIM3,Brain
SLAMF1,Blood and immune system
CD150,Blood and immune system
SLAM,Blood and immune system
ACTL8,Male tissue
CT57,Male tissue
RGS4,Brain
SCZD9,Brain
PLA2G2D,Blood and immune system
sPLA2S,Blood and immune system
CR2,Blood and immune system
C3DR,Blood and immune system
CD21,Blood and immune system
SLC2A1,Female tissue
CSE,Female tissue
DYT18,Female tissue
DYT9,Female tissue
GLUT,Female tissue
GLUT1,Female tissue
HTLVR,Female tissue
HSD11B1,Liver
HSD11,Liver
HSD11B,Liver
SDR26C1,Liver
PLPPR4,Brain
KIAA0455,Brain
LPPR4,Brain
PHP1,Brain
PRG-1,Brain
SERPINC1,Liver
AT3,Liver
ATIII,Liver
MGC22579,Liver
PROX1,Liver
SLC5A9,GI-tract
SGLT4,GI-tract
TREH,GI-tract
MGC129621,GI-tract
TRE,GI-tract
TREA,GI-tract
MMP8,Blood and immune system
CLG1,Blood and immune system
APOA1,Liver
ZNF541,Male tissue
DKFZp434I1930,Male tissue
SLC8A2,Brain
KIAA1087,Brain
NCX2,Brain
TNNT2,Heart and skeletal muscle
CMD1D,Heart and skeletal muscle
CMH2,Heart and skeletal muscle
CMPD2,Heart and skeletal muscle
CRYGD,Female tissue
CRYG4,Female tissue
TNP1,Male tissue
SPACA1,Male tissue
SAMP32,Male tissue
ZC2HC1B,Male tissue
C6orf94,Male tissue
dJ468K18.5,Male tissue
FAM164B,Male tissue
MYB,Blood and immune system
c-myb,Blood and immune system
ARG1,Liver
GHRH,Brain
GHRF,Brain
OLFM3,Brain
NOE3,Brain
TRIM67,Brain
TNL,Brain
VSX2,Eye
CHX10,Eye
HOX10,Eye
RET1,Eye
PGF,Female tissue
D12S1900,Female tissue
PGFL,Female tissue
PIGF,Female tissue
PLGF,Female tissue
PlGF-2,Female tissue
SHGC-10760,Female tissue
NPC2,Male tissue
EDDM1,Male tissue
HE1,Male tissue
NP-C2,Male tissue
ZC2HC1C,Male tissue
C14orf140,Male tissue
FAM164C,Male tissue
SLC17A5,Endocrine tissue
AST,Endocrine tissue
ISSD,Endocrine tissue
NSD,Endocrine tissue
SD,Endocrine tissue
SIALIN,Endocrine tissue
SIASD,Endocrine tissue
SLD,Endocrine tissue
TECTB,Eye
PPP1R3C,Heart and skeletal muscle
PPP1R5,Heart and skeletal muscle
PTG,Heart and skeletal muscle
CPN1,Liver
EQTN,Male tissue
AFAF,Male tissue
C9orf11,Male tissue
equatorin,Male tissue
SPACA8,Male tissue
INSL6,Male tissue
RIF1,Male tissue
INSL4,Female tissue
EPIL,Female tissue
MLANA,Eye
MART1,Eye
GRIA2,Brain
GluA2,Brain
GLUR2,Brain
GLURB,Brain
SLC25A2,Male tissue
ORNT2,Male tissue
TTLL2,Male tissue
C6orf104,Male tissue
dJ366N23.3,Male tissue
NYD-TSPG,Male tissue
ARR3,Eye
ARRX,Eye
LYZL1,Male tissue
LYC2,Male tissue
MGC33408,Male tissue
SOHLH2,Male tissue
bHLHe81,Male tissue
FLJ20449,Male tissue
SPATA28,Male tissue
TEB1,Male tissue
HSPH1,Female tissue
HSP105A,Female tissue
HSP105B,Female tissue
KIAA0201,Female tissue
NY-CO-25,Female tissue
PLS1,GI-tract
I-plastin,GI-tract
Plastin-1,GI-tract
NPPB,Heart and skeletal muscle
TEX14,Male tissue
CT113,Male tissue
LRAT,Eye
LCA14,Eye
ABCC11,Female tissue
MRP8,Female tissue
PRB2,
cP7,
PRPPRB1,
Ps,
IAPP,Pancreas
AMYLIN,Pancreas
DAP,Pancreas
IAP,Pancreas
A1BG,Liver
RGSL1,Male tissue
RGSL2,Male tissue
LHX4,Eye
Gsh4,Eye
POPDC2,Heart and skeletal muscle
POP2,Heart and skeletal muscle
GJA8,Male tissue
CAE,Male tissue
CAE1,Male tissue
CX50,Male tissue
CZP1,Male tissue
ADGRB2,Brain
BAI2,Brain
HPCA,Brain
SV2C,Brain
MYOG,Heart and skeletal muscle
bHLHc3,Heart and skeletal muscle
MYF4,Heart and skeletal muscle
PLG,Liver
PRM2,Male tissue
CT94.2,Male tissue
INHBA,Female tissue
TAF1L,Male tissue
AKR1D1,Liver
SRD5B1,Liver
SFTPA1,Lung
COLEC4,Lung
SFTP1,Lung
SP-A,Lung
SP-A1,Lung
NECAB1,Brain
EFCBP1,Brain
ACTRT1,Male tissue
AIP1,Male tissue
ARIP1,Male tissue
Arp-T1,Male tissue
KIAA0705,Male tissue
CCDC70,Male tissue
DKFZP434K1172,Male tissue
FLJ25853,Male tissue
OPTN,Heart and skeletal muscle
FIP-2,Heart and skeletal muscle
FIP2,Heart and skeletal muscle
GLC1E,Heart and skeletal muscle
HIP7,Heart and skeletal muscle
HYPL,Heart and skeletal muscle
NRP,Heart and skeletal muscle
TFIIIA-INTP,Heart and skeletal muscle
NEUROD4,Endocrine tissue
ATH-3,Endocrine tissue
Atoh3,Endocrine tissue
bHLHa4,Endocrine tissue
MATH-3,Endocrine tissue
PDE1B,Brain
PDES1B,Brain
PLP1,Brain
GPM6C,Brain
PLP,Brain
SPG2,Brain
SERPINA7,Liver
TBG,Liver
ESX1,Male tissue
ESX1L,Male tissue
ESXR1,Male tissue
MAGEA9,Male tissue
CT1.9,Male tissue
MAGE9,Male tissue
MGC8421,Male tissue
ATXN3L,Male tissue
MJDL,Male tissue
C4BPA,Liver
C4BP,Liver
C4BPB,Liver
ACSL3,Endocrine tissue
ACS3,Endocrine tissue
FACL3,Endocrine tissue
PRO2194,Endocrine tissue
MOGAT1,Liver
DGAT2L,Liver
DGAT2L1,Liver
MGAT1,Liver
MC3R,Brain
MC3,Brain
CTCFL,Male tissue
BORIS,Male tissue
CT27,Male tissue
dJ579F20.2,Male tissue
FAM209A,Male tissue
C20orf106,Male tissue
dJ1153D9.3,Male tissue
SLC12A5,Brain
KCC2,Brain
KIAA1176,Brain
GDAP1L1,Brain
GTSF1L,Male tissue
C20orf65,Male tissue
dJ1028D15.4,Male tissue
FAM112A,Male tissue
ANKRD60,Male tissue
bA196N14.3,Male tissue
C20orf86,Male tissue
RBPJL,Pancreas
RBP-L,Pancreas
RBPSUHL,Pancreas
SUH,Pancreas
SUHL,Pancreas
TP53TG5,Male tissue
C20orf10,Male tissue
CLG01,Male tissue
dJ453C12.5,Male tissue
PCK1,Liver
PEPCK-C,Liver
MAGEA10,Female tissue
CT1.10,Female tissue
MAGE10,Female tissue
MGC10599,Female tissue
IRGC,Male tissue
CINEMA,Male tissue
Iigp5,Male tissue
IRGC1,Male tissue
PSG8,Female tissue
CRISP2,Male tissue
CRISP-2,Male tissue
CT36,Male tissue
GAPDL5,Male tissue
TPX1,Male tissue
GRM4,Brain
GPRC1D,Brain
mGlu4,Brain
MGLUR4,Brain
PACSIN1,Brain
SDPI,Brain
BTN1A1,Female tissue
BT,Female tissue
BTN,Female tissue
BTN1,Female tissue
SLC17A3,Kidney
NPT4,Kidney
HIST1H1D,Blood and immune system
H1.3,Blood and immune system
H1d,Blood and immune system
H1F3,Blood and immune system
H1s-2,Blood and immune system
HIST1H2BJ,Blood and immune system
H2B/r,Blood and immune system
H2BFR,Blood and immune system
TCP11,Male tissue
D6S230E,Male tissue
FPPR,Male tissue
KIAA0229,Male tissue
DNAH8,Male tissue
hdhc9,Male tissue
CRISP1,Male tissue
AEGL1,Male tissue
ARP,Male tissue
CRISP-1,Male tissue
HSCRISP1D,Male tissue
HSCRISP1G,Male tissue
HUMARP,Male tissue
OPN5,Male tissue
dJ402H5.1,Male tissue
neuropsin,Male tissue
TMEM13,Male tissue
GCM2,Endocrine tissue
GCMB,Endocrine tissue
hGCMb,Endocrine tissue
TRIM51,Blood and immune system
SPRYD5,Blood and immune system
TRIM51A,Blood and immune system
SSUH2,GI-tract
C3orf32,GI-tract
fls485,GI-tract
ssu-2,GI-tract
PIWIL1,Male tissue
CT80.1,Male tissue
HIWI,Male tissue
PIWI,Male tissue
SLC10A2,GI-tract
ASBT,GI-tract
ISBT,GI-tract
TEKT3,Male tissue
FLJ32828,Male tissue
C1orf61,Brain
CROC4,Brain
BARHL1,Brain
NPBWR2,Brain
GPR8,Brain
FNDC11,Male tissue
C20orf195,Male tissue
MGC5356,Male tissue
PLGLB2,Liver
PLGP1,Liver
IL37,Skin
FIL1,Skin
FIL1(ZETA),Skin
FIL1Z,Skin
IL-1F7,Skin
IL-1H4,Skin
IL-1RP1,Skin
IL1F7,Skin
PSD4,Blood and immune system
EFA6B,Blood and immune system
TIC,Blood and immune system
C3,Liver
ARMD9,Liver
C3a,Liver
C3b,Liver
CPAMD1,Liver
DEFB126,Male tissue
bA530N10.1,Male tissue
C20orf8,Male tissue
DEFB-26,Male tissue
NAPB,Brain
SNAP-BETA,Brain
SNAPB,Brain
CST8,Male tissue
CRES,Male tissue
CTES5,Male tissue
CSTL1,Male tissue
CTES1,Male tissue
dJ322G13.4,Male tissue
CST11,Male tissue
CST8L,Male tissue
CTES2,Male tissue
dJ322G13.6,Male tissue
BANF2,Male tissue
BAF-L,Male tissue
BAF2,Male tissue
BAFL,Male tissue
C20orf179,Male tissue
dJ803K15.1,Male tissue
DEFB129,Male tissue
bA530N10.3,Male tissue
C20orf87,Male tissue
DEFB-29,Male tissue
MMP24,Brain
MT5-MMP,Brain
C20orf173,Male tissue
dJ477O4.4,Male tissue
KLC1,Brain
hKLC1B,Brain
hKLC1G,Brain
hKLC1J,Brain
hKLC1N,Brain
hKLC1P,Brain
hKLC1R,Brain
hKLC1S,Brain
KLC,Brain
KNS2,Brain
KNS2A,Brain
F10,Liver
PROZ,Liver
PZ,Liver
KIRREL2,Pancreas
DKFZp564A1164,Pancreas
FILTRIN,Pancreas
MGC15718,Pancreas
NEPH3,Pancreas
NLG1,Pancreas
KRT36,
KRTHA6,
TSKS,Male tissue
PPP1R161,Male tissue
TSSKS,Male tissue
CSN1S1,Female tissue
CASA,Female tissue
CSN1,Female tissue
STATH,
STR,
HTN1,
HIS1,
PRKCG,Brain
MGC57564,Brain
PKCC,Brain
PKCG,Brain
SCA14,Brain
SSX1,Male tissue
CT5.1,Male tissue
DLGAP5,Blood and immune system
DLG1,Blood and immune system
DLG7,Blood and immune system
HURP,Blood and immune system
KIAA0008,Blood and immune system
PZP,Liver
CPAMD6,Liver
PRDM7,Male tissue
ZNF910,Male tissue
OMG,Brain
OMGP,Brain
TSPAN8,GI-tract
CO-029,GI-tract
TM4SF3,GI-tract
BEST3,Heart and skeletal muscle
MGC13168,Heart and skeletal muscle
MGC40411,Heart and skeletal muscle
VMD2L3,Heart and skeletal muscle
TRPV5,Kidney
CaT2,Kidney
ECAC1,Kidney
AUNIP,Male tissue
AIBp,Male tissue
C1orf135,Male tissue
MGC2603,Male tissue
SYNGR3,Brain
FBXL16,Brain
C16orf22,Brain
Fbl16,Brain
MGC33974,Brain
VIL1,GI-tract
D2S1471,GI-tract
VIL,GI-tract
GNGT1,Eye
GNG1,Eye
SPINK2,Male tissue
HUSI-II,Male tissue
YWHAH,Brain
YWHA1,Brain
RFPL1,Brain
RNF78,Brain
RFPL3,Male tissue
RNF120,Male tissue
C22orf23,Male tissue
EVG1,Male tissue
FLJ32787,Male tissue
LOC84645,Male tissue
RNF112,Brain
BFP,Brain
ZNF179,Brain
FLNC,Heart and skeletal muscle
ABP-280,Heart and skeletal muscle
ABPL,Heart and skeletal muscle
FLN2,Heart and skeletal muscle
CHN1,Brain
ARHGAP2,Brain
CHN,Brain
DURS2,Brain
n-chimerin,Brain
RhoGAP2,Brain
GAD1,Brain
GAD,Brain
ARHGAP22,Brain
TMOD2,Brain
NTMOD,Brain
MYOD1,Heart and skeletal muscle
bHLHc1,Heart and skeletal muscle
MYF3,Heart and skeletal muscle
MYOD,Heart and skeletal muscle
PUM,Heart and skeletal muscle
KCNC1,Brain
Kv3.1,Brain
PIMREG,Blood and immune system
CATS,Blood and immune system
FAM64A,Blood and immune system
FLJ10156,Blood and immune system
FLJ10491,Blood and immune system
RCS1,Blood and immune system
AIPL1,Eye
LCA4,Eye
ATP1B2,Brain
AMOG,Brain
NRL,Eye
D14S46E,Eye
NRL-MAF,Eye
RP27,Eye
RNASE1,Pancreas
RAC1,Pancreas
RNS1,Pancreas
QRICH2,Male tissue
DKFZP434P0316,Male tissue
CHRNA10,Heart and skeletal muscle
SGO1,Blood and immune system
NY-BR-85,Blood and immune system
SGOL1,Blood and immune system
VCY1B,Male tissue
BPY1B,Male tissue
VCY,Male tissue
BPY1,Male tissue
VCY1,Male tissue
VCY1A,Male tissue
CDY2B,Male tissue
CDY,Male tissue
INS-IGF2,Pancreas
LBP,Liver
BPIFD2,Liver
SYT5,Brain
TNNI3,Heart and skeletal muscle
CMD2A,Heart and skeletal muscle
CMH7,Heart and skeletal muscle
TNNC1,Heart and skeletal muscle
ANGPTL8,Liver
C19orf80,Liver
RIFL,Liver
TD26,Liver
APOC1,Liver
ACE2,GI-tract
ATP8B3,Male tissue
ATPIK,Male tissue
NCAN,Brain
CSPG3,Brain
KIF1A,Brain
ATSV,Brain
C2orf20,Brain
SPG30,Brain
UNC104,Brain
ACSBG2,Male tissue
BGR,Male tissue
DKFZp434K1635,Male tissue
PRTD-NY3,Male tissue
GDF15,Female tissue
MIC-1,Female tissue
MIC1,Female tissue
NAG-1,Female tissue
PDF,Female tissue
PLAB,Female tissue
PTGFB,Female tissue
IQCN,Male tissue
KIAA1683,Male tissue
SULT4A1,Brain
hBR-STL-1,Brain
SULTX3,Brain
OLFM1,Brain
AMY,Brain
NOE1,Brain
NOELIN,Brain
OlfA,Brain
UBAC1,Heart and skeletal muscle
GBDR1,Heart and skeletal muscle
KPC2,Heart and skeletal muscle
UBADC1,Heart and skeletal muscle
SAG,Eye
ARRESTIN,Eye
RP47,Eye
CYP2E1,Liver
CYP2E,Liver
MNX1,Pancreas
HB9,Pancreas
HLXB9,Pancreas
HOXHB9,Pancreas
SCRA1,Pancreas
CCDC62,Male tissue
CT109,Male tissue
ERAP75,Male tissue
FLJ40344,Male tissue
TSP-NY,Male tissue
ANGPTL6,Liver
AGF,Liver
ARP5,Liver
PKDREJ,Male tissue
HSD17B3,Male tissue
SDR12C2,Male tissue
NUTM2F,Male tissue
DKFZp434I1117,Male tissue
FAM22F,Male tissue
BPIFA2,
bA49G10.1,
C20orf70,
PSP,
SPLUNC2,
BPIFA3,Male tissue
bA49G10.4,Male tissue
C20orf71,Male tissue
SPLUNC3,Male tissue
DEFB118,Male tissue
C20orf63,Male tissue
DEFB-18,Male tissue
dJ1018D12.3,Male tissue
ESC42,Male tissue
GFAP,Brain
FLJ45472,Brain
PYY,GI-tract
PYY1,GI-tract
SLC34A1,Kidney
NAPI-3,Kidney
NPT2,Kidney
NPTIIa,Kidney
SLC11,Kidney
SLC17A2,Kidney
F12,Liver
GJA9,Male tissue
CX58,Male tissue
CX59,Male tissue
GJA10,Male tissue
C3orf20,Male tissue
DKFZP434N1817,Male tissue
AOC2,Eye
DAO2,Eye
RAO,Eye
G6PC,Liver
G6PT,Liver
GSD1a,Liver
BARX1,GI-tract
CA6,
MAP1B,Brain
MAP5,Brain
PPP1R102,Brain
RHOXF2,Male tissue
CT107,Male tissue
PEPP-2,Male tissue
PEPP2,Male tissue
THG1,Male tissue
KRT33B,Skin
Ha-3II,Skin
KRTHA3B,Skin
FSHB,Endocrine tissue
LLGL1,Brain
DLG4,Brain
HUGL,Brain
HUGL-1,Brain
Lgl1,Brain
LLGL,Brain
Mgl1,Brain
LIN28A,Male tissue
CSDD1,Male tissue
FLJ12457,Male tissue
LIN-28,Male tissue
LIN28,Male tissue
ZCCHC1,Male tissue
CCT6B,Male tissue
Cctz2,Male tissue
TSA303,Male tissue
FTHL17,Male tissue
CT38,Male tissue
PSD-95,Brain
PSD95,Brain
SAP-90,Brain
SAP90,Brain
SCP2D1,Male tissue
C20orf79,Male tissue
dJ1068E13.2,Male tissue
HSD22,Male tissue
SNAP25,Brain
bA416N4.2,Brain
dJ1068F16.2,Brain
RIC-4,Brain
RIC4,Brain
SEC9,Brain
SNAP,Brain
SNAP-25,Brain
SSTR4,Brain
BCAN,Brain
BEHAB,Brain
CSPG7,Brain
MGC13038,Brain
CRP,Liver
PTX1,Liver
HAPLN2,Brain
BRAL1,Brain
APCS,Liver
MGC88159,Liver
PTX2,Liver
SAP,Liver
SYT11,Brain
DKFZp781D015,Brain
KIAA0080,Brain
MGC10881,Brain
MGC17226,Brain
TESMIN,Male tissue
CXCDC2,Male tissue
MTL5,Male tissue
ANGPTL3,Liver
ANGPT5,Liver
PDE6A,Eye
PDEA,Eye
RP43,Eye
TPTE2,Male tissue
TPIP,Male tissue
RNF17,Male tissue
FLJ11045,Male tissue
Mmip-2,Male tissue
SPATA23,Male tissue
TDRD4,Male tissue
CHI3L1,Liver
GP39,Liver
YKL40,Liver
MYBPH,Heart and skeletal muscle
DCLK1,Brain
DCAMKL1,Brain
DCDC3A,Brain
DCLK,Brain
KIAA0369,Brain
4,Endocrine tissue
-4,Endocrine tissue
PY160,Endocrine tissue
MORC4,Female tissue
FLJ11565,Female tissue
ZCW4,Female tissue
ZCWCC2,Female tissue
MACROD1,Heart and skeletal muscle
LRP16,Heart and skeletal muscle
GSTT2B,Female tissue
GSTT2P,Female tissue
MYO18B,Heart and skeletal muscle
BK125H2.1,Heart and skeletal muscle
NTS,GI-tract
SFTPD,Lung
COLEC7,Lung
SFTP4,Lung
SP-D,Lung
MICAL2,Brain
KIAA0750,Brain
DUSP26,Heart and skeletal muscle
DUSP24,Heart and skeletal muscle
MGC1136,Heart and skeletal muscle
ADAM20,Male tissue
TRPM1,Eye
CSNB1C,Eye
LTRPC1,Eye
MLSN1,Eye
GNAT2,Eye
ACHM4,Eye
TSHB,Endocrine tissue
CHIA,GI-tract
AMCase,GI-tract
CHIT2,GI-tract
TSA1902,GI-tract
HMGCS2,Liver
ADAM30,Male tissue
svph4,Male tissue
SAA2,Liver
CFHR4,Liver
CFHL4,Liver
FHR-4,Liver
FHR4,Liver
CFHR5,Liver
CFHL5,Liver
FHR-5,Liver
FHR5,Liver
HRH4,Blood and immune system
AXOR35,Blood and immune system
GPCR105,Blood and immune system
GPRv53,Blood and immune system
H4R,Blood and immune system
HH4R,Blood and immune system
SOX5,Male tissue
L-SOX5,Male tissue
MGC35153,Male tissue
SLCO1B1,Liver
LST-1,Liver
OATP-C,Liver
OATP1B1,Liver
SLC21A6,Liver
PRH2,
Pr,
MYBPC3,Heart and skeletal muscle
CMH4,Heart and skeletal muscle
FHC,Heart and skeletal muscle
MYBP-C,Heart and skeletal muscle
USP26,Male tissue
DSC1,Skin
CDHF1,Skin
GIF,GI-tract
IF,GI-tract
IFMH,GI-tract
INF,GI-tract
TCN3,GI-tract
ACRV1,Male tissue
D11S4365,Male tissue
SP-10,Male tissue
SPACA2,Male tissue
SDS,Liver
SDH,Liver
CSN2,Female tissue
CASB,Female tissue
FAM71F1,Male tissue
FAM137A,Male tissue
NYD-SP18,Male tissue
EPHA7,Endocrine tissue
Hek11,Endocrine tissue
CX62,Male tissue
LACRT,
LACRITIN,
GLS2,Liver
GA,Liver
GLS,Liver
hLGA,Liver
LGA,Liver
FAM186B,Male tissue
C12orf25,Male tissue
DKFZP434J0113,Male tissue
FAIM2,Brain
KIAA0950,Brain
LFG,Brain
LFG2,Brain
LIFEGUARD,Brain
NMP35,Brain
TMBIM2,Brain
NHSL1,GI-tract
bA43P8.1,GI-tract
C6orf63,GI-tract
KIAA1357,GI-tract
EGR4,Brain
NGFI-C,Brain
PAT133,Brain
CHST5,GI-tract
FLJ22167,GI-tract
I-GLCNAC-6-ST,GI-tract
AGT,Liver
SERPINA8,Liver
CHRND,Heart and skeletal muscle
ACHRD,Heart and skeletal muscle
SERPINE2,Female tissue
GDN,Female tissue
nexin,Female tissue
PI7,Female tissue
PN1,Female tissue
PNI,Female tissue
GPR45,Brain
PSP24,Brain
PSP24A,Brain
STAB2,Blood and immune system
DKFZP434E0321,Blood and immune system
FEEL-2,Blood and immune system
FELL,Blood and immune system
HARE,Blood and immune system
SCARH1,Blood and immune system
STAB-2,Blood and immune system
PCDH8,Brain
ARCADLIN,Brain
PAPC,Brain
IGF2BP3,Female tissue
CT98,Female tissue
IMP-3,Female tissue
IMP3,Female tissue
DGKB,Brain
DAGK2,Brain
DGK,Brain
DGK-BETA,Brain
KIAA0718,Brain
MYCBPAP,Male tissue
AMAP-1,Male tissue
DKFZp434N1415,Male tissue
CSH1,Female tissue
CSA,Female tissue
CSMT,Female tissue
FLJ75407,Female tissue
hCS-A,Female tissue
PL,Female tissue
SCN2A,Brain
HBSCI,Brain
HBSCII,Brain
Nav1.2,Brain
SCN2A1,Brain
SCN2A2,Brain
TBR1,Brain
ERMN,Brain
ERMIN,Brain
JN,Brain
KIAA1189,Brain
BIN1,Heart and skeletal muscle
AMPH2,Heart and skeletal muscle
AMPHL,Heart and skeletal muscle
SH3P9,Heart and skeletal muscle
GAD2,Brain
GAD65,Brain
ODF2,Male tissue
CT134,Male tissue
ODF84,Male tissue
STXBP1,Brain
hUNC18,Brain
MUNC18-1,Brain
rbSec1,Brain
UNC18,Brain
BAAT,Liver
BAT,Liver
WDR38,Female tissue
GABBR2,Brain
GABABR2,Brain
GPR51,Brain
GPRC3B,Brain
HG20,Brain
CTSV,Blood and immune system
CTSL2,Blood and immune system
CTSU,Blood and immune system
NOV,Endocrine tissue
CCN3,Endocrine tissue
IGFBP9,Endocrine tissue
CCL21,Blood and immune system
6Ckine,Blood and immune system
CKb9,Blood and immune system
ECL,Blood and immune system
exodus-2,Blood and immune system
SCYA21,Blood and immune system
SLC,Blood and immune system
TCA4,Blood and immune system
DMRT1,Male tissue
CT154,Male tissue
DMT1,Male tissue
GRHPR,Liver
GLXR,Liver
PH2,Liver
SLC22A7,Liver
NLT,Liver
OAT2,Liver
CAPN11,Male tissue
HCRTR2,Brain
OX2R,Brain
KIAA0319,Brain
NMIG,Brain
TUBB2A,Brain
dJ40E16.7,Brain
TUBB,Brain
TUBB2,Brain
GCM1,Female tissue
GCMA,Female tissue
hGCMa,Female tissue
TUBB2B,Brain
